# The following data was extracted from Fig. S7 of Fernandez-Rico et
# al., Nat. Mat. 23, 124 (2024).  To extract the data, coordinates of
# each data point was found using Inkscape.  A linear extrapolation
# was used to find the dimensionful data.
# ----------------------------------------------------------------------
#E(kPa)  C(wt%)            T_swell           C(wt%)            T_micro
800      63.8367784579052  80.0451827242525  63.7838461434059  32.7003322259136
800      56.0915593316956  60.0119601328904  56.0891163017956  23.7262458471761
800      48.685921361582   50.0252491694352  48.683478331682   15.0205980066445
800      43.4879680777426  40.0119601328904  43.4887824210426  6.52225913621261
800      35.9015458950312  23.0112956810631  35.9023602383312  -7.37940199335549
#E(kPa)  C(wt%)            T_swell           C(wt%)            T_micro
350      66.7947796122696  80.0075305255231  66.7939656224987  52.004733473186
350      60.8876558451249  60.0172126297671  60.8860278655832  46.7140013985262
350      53.6822183934555  50.0069926308429  53.6814044036847  36.9942445269216
350      46.0958337290228  40.0021515787209  46.0942057494811  27.4928728954871
350      38.6014299086975  22.9906944220322  38.5998019291558  12.5028239470712
#E(kPa)  C(wt%)            T_swell           C(wt%)            T_micro
180      70.7907166123779  80.0128048425586  70.7882736156352  54.010825912345
180      65.3004885993485  59.9906873872301  65.2972312703583  52.992258890635
180      56.692996742671   49.9959257319131  56.6897394136808  42.9974972353181
180      49.0871335504886  39.9976718468075  49.0838762214984  33.4939759036144
180      41.1889250814332  22.9998253885105  41.185667752443   16.4972935219137
#E(kPa)  C(wt%)            T_swell           C(wt%)            T_micro
40       80.289615113186   80.0128048425586  80.2883936811248  78.0076829055352
40       70.8968025622931  59.9906873872301  70.8955811302318  59.810837553111
40       62.6904076868791  49.9959257319131  62.6891862548179  48.5926313951458
40       52.0948916996906  39.9976718468075  52.0936702676293  39.611780455154
40       41.5922045491559  22.9998253885105  41.5909831170946  22.9014609161283
#E(kPa)  C(wt%)            T_swell           C(wt%)            T_micro
10       83.2825732899023  80.0081436382673  83.0171009771987  79.9092566021639
10       75.2947882736156  59.9945709078217  75.0293159609121  59.891030364137
10       65.1001628664495  49.996509869314   64.8346905537459  49.8941327025246
10       53.5912052117264  39.9984488308062  53.3257328990228  39.9007251715981
10       43.5960912052117  23.0026757668593  43.3306188925082  22.9002986000698
